,ano,uf,genero,mes,numero,data,regiao,data_numerica,função_y
228,2019,São Paulo,Masculino,Janeiro,201,2019-01-01,Sudeste,1461,113.12
229,2019,São Paulo,Masculino,Fevereiro,126,2019-02-01,Sudeste,1492,113.74000000000001
230,2019,São Paulo,Masculino,Março,119,2019-03-01,Sudeste,1520,114.30000000000001
231,2019,São Paulo,Masculino,Abril,86,2019-04-01,Sudeste,1551,114.92
232,2019,São Paulo,Masculino,Maio,90,2019-05-01,Sudeste,1581,115.52000000000001
233,2019,São Paulo,Masculino,Junho,122,2019-06-01,Sudeste,1612,116.14000000000001
234,2019,São Paulo,Masculino,Julho,122,2019-07-01,Sudeste,1642,116.74000000000001
235,2019,São Paulo,Masculino,Agosto,112,2019-08-01,Sudeste,1673,117.36000000000001
236,2019,São Paulo,Masculino,Setembro,113,2019-09-01,Sudeste,1704,117.98
237,2019,São Paulo,Masculino,Outubro,99,2019-10-01,Sudeste,1734,118.58000000000001
238,2019,São Paulo,Masculino,Novembro,132,2019-11-01,Sudeste,1765,119.20000000000002
239,2019,São Paulo,Masculino,Dezembro,131,2019-12-01,Sudeste,1795,119.80000000000001
552,2015,São Paulo,Masculino,Janeiro,69,2015-01-01,Sudeste,0,83.9
553,2015,São Paulo,Masculino,Fevereiro,57,2015-02-01,Sudeste,31,84.52000000000001
554,2015,São Paulo,Masculino,Março,68,2015-03-01,Sudeste,59,85.08000000000001
555,2015,São Paulo,Masculino,Abril,64,2015-04-01,Sudeste,90,85.7
556,2015,São Paulo,Masculino,Maio,62,2015-05-01,Sudeste,120,86.30000000000001
557,2015,São Paulo,Masculino,Junho,69,2015-06-01,Sudeste,151,86.92
558,2015,São Paulo,Masculino,Julho,72,2015-07-01,Sudeste,181,87.52000000000001
559,2015,São Paulo,Masculino,Agosto,72,2015-08-01,Sudeste,212,88.14
560,2015,São Paulo,Masculino,Setembro,76,2015-09-01,Sudeste,243,88.76
561,2015,São Paulo,Masculino,Outubro,85,2015-10-01,Sudeste,273,89.36
562,2015,São Paulo,Masculino,Novembro,86,2015-11-01,Sudeste,304,89.98
563,2015,São Paulo,Masculino,Dezembro,78,2015-12-01,Sudeste,334,90.58000000000001
876,2016,São Paulo,Masculino,Janeiro,75,2016-01-01,Sudeste,365,91.2
877,2016,São Paulo,Masculino,Fevereiro,57,2016-02-01,Sudeste,396,91.82000000000001
878,2016,São Paulo,Masculino,Março,66,2016-03-01,Sudeste,425,92.4
879,2016,São Paulo,Masculino,Abril,72,2016-04-01,Sudeste,456,93.02000000000001
880,2016,São Paulo,Masculino,Maio,65,2016-05-01,Sudeste,486,93.62
881,2016,São Paulo,Masculino,Junho,75,2016-06-01,Sudeste,517,94.24000000000001
882,2016,São Paulo,Masculino,Julho,64,2016-07-01,Sudeste,547,94.84
883,2016,São Paulo,Masculino,Agosto,70,2016-08-01,Sudeste,578,95.46000000000001
884,2016,São Paulo,Masculino,Setembro,102,2016-09-01,Sudeste,609,96.08000000000001
885,2016,São Paulo,Masculino,Outubro,80,2016-10-01,Sudeste,639,96.68
886,2016,São Paulo,Masculino,Novembro,81,2016-11-01,Sudeste,670,97.30000000000001
887,2016,São Paulo,Masculino,Dezembro,85,2016-12-01,Sudeste,700,97.9
1200,2017,São Paulo,Masculino,Janeiro,78,2017-01-01,Sudeste,731,98.52000000000001
1201,2017,São Paulo,Masculino,Fevereiro,53,2017-02-01,Sudeste,762,99.14
1202,2017,São Paulo,Masculino,Março,79,2017-03-01,Sudeste,790,99.7
1203,2017,São Paulo,Masculino,Abril,69,2017-04-01,Sudeste,821,100.32000000000001
1204,2017,São Paulo,Masculino,Maio,73,2017-05-01,Sudeste,851,100.92
1205,2017,São Paulo,Masculino,Junho,86,2017-06-01,Sudeste,882,101.54
1206,2017,São Paulo,Masculino,Julho,91,2017-07-01,Sudeste,912,102.14000000000001
1207,2017,São Paulo,Masculino,Agosto,77,2017-08-01,Sudeste,943,102.76
1208,2017,São Paulo,Masculino,Setembro,100,2017-09-01,Sudeste,974,103.38000000000001
1209,2017,São Paulo,Masculino,Outubro,98,2017-10-01,Sudeste,1004,103.98
1210,2017,São Paulo,Masculino,Novembro,113,2017-11-01,Sudeste,1035,104.60000000000001
1211,2017,São Paulo,Masculino,Dezembro,85,2017-12-01,Sudeste,1065,105.2
1524,2018,São Paulo,Masculino,Janeiro,96,2018-01-01,Sudeste,1096,105.82000000000001
1525,2018,São Paulo,Masculino,Fevereiro,91,2018-02-01,Sudeste,1127,106.44
1526,2018,São Paulo,Masculino,Março,101,2018-03-01,Sudeste,1155,107.0
1527,2018,São Paulo,Masculino,Abril,78,2018-04-01,Sudeste,1186,107.62
1528,2018,São Paulo,Masculino,Maio,94,2018-05-01,Sudeste,1216,108.22
1529,2018,São Paulo,Masculino,Junho,113,2018-06-01,Sudeste,1247,108.84
1530,2018,São Paulo,Masculino,Julho,96,2018-07-01,Sudeste,1277,109.44
1531,2018,São Paulo,Masculino,Agosto,65,2018-08-01,Sudeste,1308,110.06
1532,2018,São Paulo,Masculino,Setembro,102,2018-09-01,Sudeste,1339,110.68
1533,2018,São Paulo,Masculino,Outubro,111,2018-10-01,Sudeste,1369,111.28
1534,2018,São Paulo,Masculino,Novembro,167,2018-11-01,Sudeste,1400,111.9
1848,2020,São Paulo,Masculino,Janeiro,100,2020-01-01,Sudeste,1826,120.42000000000002
1849,2020,São Paulo,Masculino,Fevereiro,134,2020-02-01,Sudeste,1857,121.04
1850,2020,São Paulo,Masculino,Março,111,2020-03-01,Sudeste,1886,121.62
1851,2020,São Paulo,Masculino,Abril,48,2020-04-01,Sudeste,1917,122.24000000000001
1852,2020,São Paulo,Masculino,Maio,49,2020-05-01,Sudeste,1947,122.84
1853,2020,São Paulo,Masculino,Junho,55,2020-06-01,Sudeste,1978,123.46000000000001
1854,2020,São Paulo,Masculino,Julho,64,2020-07-01,Sudeste,2008,124.06
1855,2020,São Paulo,Masculino,Agosto,82,2020-08-01,Sudeste,2039,124.68
1856,2020,São Paulo,Masculino,Setembro,97,2020-09-01,Sudeste,2070,125.30000000000001
1857,2020,São Paulo,Masculino,Outubro,125,2020-10-01,Sudeste,2100,125.9
1858,2020,São Paulo,Masculino,Novembro,108,2020-11-01,Sudeste,2131,126.52000000000001
1859,2020,São Paulo,Masculino,Dezembro,119,2020-12-01,Sudeste,2161,127.12
2172,2021,São Paulo,Masculino,Janeiro,119,2021-01-01,Sudeste,2192,127.74000000000001
2173,2021,São Paulo,Masculino,Fevereiro,71,2021-02-01,Sudeste,2223,128.36
2174,2021,São Paulo,Masculino,Março,90,2021-03-01,Sudeste,2251,128.92000000000002
2175,2021,São Paulo,Masculino,Abril,79,2021-04-01,Sudeste,2282,129.54000000000002
2176,2021,São Paulo,Masculino,Maio,84,2021-05-01,Sudeste,2312,130.14000000000001
2177,2021,São Paulo,Masculino,Junho,96,2021-06-01,Sudeste,2343,130.76
2178,2021,São Paulo,Masculino,Julho,131,2021-07-01,Sudeste,2373,131.36
2179,2021,São Paulo,Masculino,Agosto,97,2021-08-01,Sudeste,2404,131.98000000000002
2180,2021,São Paulo,Masculino,Setembro,105,2021-09-01,Sudeste,2435,132.60000000000002
2181,2021,São Paulo,Masculino,Outubro,141,2021-10-01,Sudeste,2465,133.20000000000002
2182,2021,São Paulo,Masculino,Novembro,105,2021-11-01,Sudeste,2496,133.82
2183,2021,São Paulo,Masculino,Dezembro,132,2021-12-01,Sudeste,2526,134.42000000000002
2498,2019,São Paulo,Feminino,Março,183,2019-03-01,Sudeste,1520,114.30000000000001
2499,2019,São Paulo,Feminino,Abril,128,2019-04-01,Sudeste,1551,114.92
2500,2019,São Paulo,Feminino,Maio,159,2019-05-01,Sudeste,1581,115.52000000000001
2501,2019,São Paulo,Feminino,Junho,150,2019-06-01,Sudeste,1612,116.14000000000001
2502,2019,São Paulo,Feminino,Julho,113,2019-07-01,Sudeste,1642,116.74000000000001
2503,2019,São Paulo,Feminino,Agosto,151,2019-08-01,Sudeste,1673,117.36000000000001
2504,2019,São Paulo,Feminino,Setembro,147,2019-09-01,Sudeste,1704,117.98
2505,2019,São Paulo,Feminino,Outubro,164,2019-10-01,Sudeste,1734,118.58000000000001
2506,2019,São Paulo,Feminino,Novembro,205,2019-11-01,Sudeste,1765,119.20000000000002
2507,2019,São Paulo,Feminino,Dezembro,165,2019-12-01,Sudeste,1795,119.80000000000001
2820,2015,São Paulo,Feminino,Janeiro,87,2015-01-01,Sudeste,0,83.9
2821,2015,São Paulo,Feminino,Fevereiro,64,2015-02-01,Sudeste,31,84.52000000000001
2822,2015,São Paulo,Feminino,Março,95,2015-03-01,Sudeste,59,85.08000000000001
2823,2015,São Paulo,Feminino,Abril,72,2015-04-01,Sudeste,90,85.7
2824,2015,São Paulo,Feminino,Maio,76,2015-05-01,Sudeste,120,86.30000000000001
2825,2015,São Paulo,Feminino,Junho,86,2015-06-01,Sudeste,151,86.92
2826,2015,São Paulo,Feminino,Julho,100,2015-07-01,Sudeste,181,87.52000000000001
2827,2015,São Paulo,Feminino,Agosto,96,2015-08-01,Sudeste,212,88.14
2828,2015,São Paulo,Feminino,Setembro,109,2015-09-01,Sudeste,243,88.76
2829,2015,São Paulo,Feminino,Outubro,126,2015-10-01,Sudeste,273,89.36
2830,2015,São Paulo,Feminino,Novembro,111,2015-11-01,Sudeste,304,89.98
2831,2015,São Paulo,Feminino,Dezembro,128,2015-12-01,Sudeste,334,90.58000000000001
3144,2016,São Paulo,Feminino,Janeiro,79,2016-01-01,Sudeste,365,91.2
3145,2016,São Paulo,Feminino,Fevereiro,92,2016-02-01,Sudeste,396,91.82000000000001
3146,2016,São Paulo,Feminino,Março,71,2016-03-01,Sudeste,425,92.4
3147,2016,São Paulo,Feminino,Abril,102,2016-04-01,Sudeste,456,93.02000000000001
3148,2016,São Paulo,Feminino,Maio,92,2016-05-01,Sudeste,486,93.62
3149,2016,São Paulo,Feminino,Junho,93,2016-06-01,Sudeste,517,94.24000000000001
3150,2016,São Paulo,Feminino,Julho,108,2016-07-01,Sudeste,547,94.84
3151,2016,São Paulo,Feminino,Agosto,85,2016-08-01,Sudeste,578,95.46000000000001
3152,2016,São Paulo,Feminino,Setembro,120,2016-09-01,Sudeste,609,96.08000000000001
3153,2016,São Paulo,Feminino,Outubro,118,2016-10-01,Sudeste,639,96.68
3154,2016,São Paulo,Feminino,Novembro,117,2016-11-01,Sudeste,670,97.30000000000001
3155,2016,São Paulo,Feminino,Dezembro,125,2016-12-01,Sudeste,700,97.9
3468,2017,São Paulo,Feminino,Janeiro,91,2017-01-01,Sudeste,731,98.52000000000001
3469,2017,São Paulo,Feminino,Fevereiro,81,2017-02-01,Sudeste,762,99.14
3470,2017,São Paulo,Feminino,Março,128,2017-03-01,Sudeste,790,99.7
3471,2017,São Paulo,Feminino,Abril,113,2017-04-01,Sudeste,821,100.32000000000001
3472,2017,São Paulo,Feminino,Maio,123,2017-05-01,Sudeste,851,100.92
3473,2017,São Paulo,Feminino,Junho,121,2017-06-01,Sudeste,882,101.54
3474,2017,São Paulo,Feminino,Julho,119,2017-07-01,Sudeste,912,102.14000000000001
3475,2017,São Paulo,Feminino,Agosto,128,2017-08-01,Sudeste,943,102.76
3476,2017,São Paulo,Feminino,Setembro,154,2017-09-01,Sudeste,974,103.38000000000001
3477,2017,São Paulo,Feminino,Outubro,151,2017-10-01,Sudeste,1004,103.98
3478,2017,São Paulo,Feminino,Novembro,143,2017-11-01,Sudeste,1035,104.60000000000001
3479,2017,São Paulo,Feminino,Dezembro,143,2017-12-01,Sudeste,1065,105.2
3792,2018,São Paulo,Feminino,Janeiro,129,2018-01-01,Sudeste,1096,105.82000000000001
3793,2018,São Paulo,Feminino,Fevereiro,105,2018-02-01,Sudeste,1127,106.44
3794,2018,São Paulo,Feminino,Março,107,2018-03-01,Sudeste,1155,107.0
3795,2018,São Paulo,Feminino,Abril,120,2018-04-01,Sudeste,1186,107.62
3796,2018,São Paulo,Feminino,Maio,131,2018-05-01,Sudeste,1216,108.22
3797,2018,São Paulo,Feminino,Junho,130,2018-06-01,Sudeste,1247,108.84
3798,2018,São Paulo,Feminino,Julho,143,2018-07-01,Sudeste,1277,109.44
3799,2018,São Paulo,Feminino,Agosto,120,2018-08-01,Sudeste,1308,110.06
3800,2018,São Paulo,Feminino,Setembro,184,2018-09-01,Sudeste,1339,110.68
3801,2018,São Paulo,Feminino,Outubro,189,2018-10-01,Sudeste,1369,111.28
4116,2020,São Paulo,Feminino,Janeiro,149,2020-01-01,Sudeste,1826,120.42000000000002
4117,2020,São Paulo,Feminino,Fevereiro,155,2020-02-01,Sudeste,1857,121.04
4118,2020,São Paulo,Feminino,Março,131,2020-03-01,Sudeste,1886,121.62
4119,2020,São Paulo,Feminino,Abril,81,2020-04-01,Sudeste,1917,122.24000000000001
4120,2020,São Paulo,Feminino,Maio,63,2020-05-01,Sudeste,1947,122.84
4121,2020,São Paulo,Feminino,Junho,94,2020-06-01,Sudeste,1978,123.46000000000001
4122,2020,São Paulo,Feminino,Julho,95,2020-07-01,Sudeste,2008,124.06
4123,2020,São Paulo,Feminino,Agosto,119,2020-08-01,Sudeste,2039,124.68
4124,2020,São Paulo,Feminino,Setembro,137,2020-09-01,Sudeste,2070,125.30000000000001
4125,2020,São Paulo,Feminino,Outubro,194,2020-10-01,Sudeste,2100,125.9
4126,2020,São Paulo,Feminino,Novembro,186,2020-11-01,Sudeste,2131,126.52000000000001
4127,2020,São Paulo,Feminino,Dezembro,198,2020-12-01,Sudeste,2161,127.12
4440,2021,São Paulo,Feminino,Janeiro,153,2021-01-01,Sudeste,2192,127.74000000000001
4441,2021,São Paulo,Feminino,Fevereiro,124,2021-02-01,Sudeste,2223,128.36
4442,2021,São Paulo,Feminino,Março,156,2021-03-01,Sudeste,2251,128.92000000000002
4443,2021,São Paulo,Feminino,Abril,128,2021-04-01,Sudeste,2282,129.54000000000002
4444,2021,São Paulo,Feminino,Maio,135,2021-05-01,Sudeste,2312,130.14000000000001
4445,2021,São Paulo,Feminino,Junho,156,2021-06-01,Sudeste,2343,130.76
4446,2021,São Paulo,Feminino,Julho,165,2021-07-01,Sudeste,2373,131.36
4447,2021,São Paulo,Feminino,Agosto,159,2021-08-01,Sudeste,2404,131.98000000000002
4448,2021,São Paulo,Feminino,Setembro,204,2021-09-01,Sudeste,2435,132.60000000000002
